,no ethics,ethics 0.5,ethics 1,ethics 2,ethics normal 0.5,ethics normal 1,ethics normal 2,scores no ethics,scores ethics 0.5,scores ethics 1,scores ethics 2,scores ethics normal 0.5,scores ethics normal 1,scores ethics normal 2,mean,mean score
1181,-5.52861065766e-06,-0.000223990283272,-0.000513361748221,-0.00106399175992,-0.00104217013059,-0.00208051376923,-0.00417414464447,27.051139455,60.7330342521,60.9540555661,61.3207545734,61.3098395559,61.9224104595,63.1831939712,3.9341839105e-05,27.1814415931
1182,2.50158858424e-05,7.69086483374e-05,0.000206184255824,0.000251391520784,0.000265889509192,0.000553556671043,0.00108200803329,27.0506824983,60.6769119665,60.9399010451,61.2649880053,61.2630079718,61.8516581192,63.0140027062,0.00215692850439,27.1814415931
1183,0.000331074422499,0.000263444452181,0.000501122232725,0.0010007384949,0.000920066103967,0.00183654652253,0.00367098915117,27.0867593401,60.7713005477,61.0584115929,61.4660759986,61.3780715191,62.1173648501,63.5472889628,0.00961583748392,27.1814415931
1184,-7.0718892191e-05,-0.000190943171489,-0.000341333823855,-0.000692839741281,-0.00060461166913,-0.00119534752542,-0.00239423864885,27.0839893309,60.8122019078,61.0873598138,61.5265913494,61.4207228338,62.2078039117,63.731344345,-0.00498397499426,27.1814415931
1185,-1.55535219678e-05,-0.0003820548346,-0.000683512813745,-0.00136948167288,-0.00124440973093,-0.00248857472886,-0.00497679195362,27.0209019747,60.8442394603,61.0936993524,61.5870628506,61.5047016018,62.3227344593,63.9573535148,0.00247206415711,27.1814415931
1186,-6.36955623646e-05,-5.6460704244e-06,-2.16654424337e-05,-4.409577877e-05,-3.44707319483e-05,-7.41062184746e-05,-0.000147812980487,26.9832765898,60.7596728979,61.1349908108,61.6032035963,61.4416791627,62.2010080717,63.7143949947,-0.00503964920461,27.1814415931
1187,5.3659401724e-05,-4.17976004742e-05,-0.000128890474343,-0.000302220662809,-0.00025204856127,-0.000495056519624,-0.00101077085202,26.8894762305,60.8841863933,61.1602319183,61.6839796424,61.5186672618,62.362501033,64.0301870196,0.000129274784539,27.1814415931
1188,0.000453131818903,0.000523693020928,0.00101711820663,0.00206825298839,0.00164054434456,0.00327692563639,0.00656529365529,26.9302590417,60.8978159694,61.1702710739,61.6739690982,61.4875398721,62.3161213593,63.941839025,0.0140131282946,27.1814415931
1189,0.000115712625905,-0.000272233474139,-0.000595563916588,-0.00119682721255,-0.000882580429661,-0.00178262129627,-0.0035608758433,26.9381202104,60.8484951786,61.1702217268,61.6677747756,61.3986829088,62.1614763438,63.630569265,0.00193389580873,27.1814415931
1190,0.000497324411823,0.000715723088715,0.00134433883083,0.00267718503103,0.0019073018477,0.00383018230133,0.00762296097157,26.9399698196,60.8031714719,61.1856574,61.7343318535,61.4206075854,62.154064448,63.6630219868,0.0161664929464,27.1814415931
